country,Period,Age (x),Age interval (n),nmx,nqx,npx,lx,ndx,nLx,nSx,Tx,e0x,nax
Comoros,2095-2100,85,5,0.15334149,0.54711242,0.45288758,33721.496,18449.449,120316.096,0.37830486,177651.024,5.2682,2.3825
Comoros,2095-2100,90,5,0.23973582,0.71449851,0.28550149,15272.047,10911.855,45516.164,0.22995986,57334.928,3.7542,2.1733
Comoros,2095-2100,95,5,0.35145155,0.84367957,0.15632043,4360.192,3678.605,10466.891,0.114383619,11818.764,2.7106,1.9189
Comoros,2095-2100,100,-1,0.504184733,...,...,681.587,681.587,1351.873,...,1351.873,1.9834,1.9834
Djibouti,2095-2100,0,1,0.00628401,0.00624752,0.99375248,100000,624.752,99419.352,0.99264575,8219130.651,82.1913,0.0706
Djibouti,2095-2100,1,4,0.00060515,0.00241695,0.99758305,99375.248,240.185,396903.521,0.99808824,8119711.299,81.7076,1.5125
Djibouti,2095-2100,5,5,0.00024328,0.00121568,0.99878432,99135.062,120.517,495374.021,0.99888558,7722807.778,77.9019,2.5
Djibouti,2095-2100,10,5,0.00020271,0.00101304,0.99898696,99014.546,100.305,494821.966,0.99877677,7227433.757,72.9937,2.5
Djibouti,2095-2100,15,5,0.00030669,0.00153237,0.99846763,98914.24,151.573,494216.685,0.99814425,6732611.792,68.0651,2.6611
Djibouti,2095-2100,20,5,0.00044054,0.00220039,0.99779961,98762.668,217.317,493299.543,0.99743127,6238395.107,63.1655,2.6357
Djibouti,2095-2100,25,5,0.00059097,0.00295068,0.99704932,98545.351,290.776,492032.388,0.99665384,5745095.563,58.299,2.612
Djibouti,2095-2100,30,5,0.0007587,0.00378665,0.99621335,98254.575,372.055,490385.969,0.99555908,5253063.175,53.4638,2.6162
Djibouti,2095-2100,35,5,0.00104012,0.00518782,0.99481218,97882.52,507.797,488208.205,0.99389556,4762677.206,48.6571,2.6282
Djibouti,2095-2100,40,5,0.00141848,0.00706845,0.99293155,97374.723,688.289,485227.967,0.99209227,4274469.002,43.8971,2.6091
Djibouti,2095-2100,45,5,0.00178081,0.00886645,0.99113355,96686.435,857.265,481390.917,0.98935702,3789241.035,39.191,2.6189
Djibouti,2095-2100,50,5,0.00255486,0.01269756,0.98730244,95829.169,1216.797,476267.483,0.98522505,3307850.118,34.5182,2.6345
Djibouti,2095-2100,55,5,0.0034837,0.01727742,0.98272258,94612.373,1634.658,469230.655,0.97814669,2831582.635,29.9282,2.6563
Djibouti,2095-2100,60,5,0.00560073,0.0276475,0.9723525,92977.715,2570.602,458976.411,0.96363822,2362351.98,25.4077,2.7001
Djibouti,2095-2100,65,5,0.00962645,0.04709424,0.95290576,90407.113,4257.654,442287.21,0.93743249,1903375.57,21.0534,2.7104
Djibouti,2095-2100,70,5,0.01692933,0.08147634,0.91852366,86149.459,7019.142,414614.402,0.89214551,1461088.359,16.9599,2.7016
Djibouti,2095-2100,75,5,0.03000675,0.14026722,0.85973278,79130.316,11099.39,369896.379,0.81489278,1046473.958,13.2247,2.6796
Djibouti,2095-2100,80,5,0.05411533,0.23976978,0.76023022,68030.927,16311.76,301425.887,0.69557862,676577.579,9.9451,2.6257
Djibouti,2095-2100,85,5,0.09425598,0.38210628,0.61789372,51719.166,19762.218,209665.403,0.54082805,375151.691,7.2536,2.524
Djibouti,2095-2100,90,5,0.15587859,0.55310445,0.44689555,31956.948,17675.53,113392.932,0.37108707,165486.288,5.1784,2.3754
Djibouti,2095-2100,95,5,0.24630089,0.72569889,0.27430111,14281.418,10364.009,42078.65,0.19224536,52093.356,3.6476,2.1702
Djibouti,2095-2100,100,-1,0.391159789,...,...,3917.409,3917.409,10014.706,...,10014.706,2.5565,2.5565
Eritrea,2095-2100,0,1,0.00362108,0.00360884,0.99639116,100000,360.884,99661.902,0.9958427,8261491.417,82.6149,0.0631
Eritrea,2095-2100,1,4,0.0003003,0.00120028,0.99879972,99639.116,119.595,398259.449,0.99905828,8161829.516,81.9139,1.5165
Eritrea,2095-2100,5,5,0.00011672,0.00058342,0.99941658,99519.521,58.062,497452.449,0.99945567,7763570.067,78.0105,2.5
Eritrea,2095-2100,10,5,0.00010107,0.00050522,0.99949478,99461.459,50.25,497181.67,0.99935115,7266117.618,73.0546,2.5
Eritrea,2095-2100,15,5,0.00017368,0.00086803,0.99913197,99411.209,86.292,496859.073,0.99886501,6768935.948,68.0903,2.7174
Eritrea,2095-2100,20,5,0.00028741,0.00143609,0.99856391,99324.917,142.64,496295.143,0.99821374,6272076.874,63.1471,2.6904
Eritrea,2095-2100,25,5,0.00043437,0.00216964,0.99783036,99182.278,215.19,495408.629,0.99736199,5775781.731,58.234,2.6636
Eritrea,2095-2100,30,5,0.00063318,0.00316122,0.99683878,98967.088,312.857,494101.738,0.99616734,5280373.102,53.3548,2.6548
Eritrea,2095-2100,35,5,0.00091913,0.00458575,0.99541425,98654.231,452.404,492208.015,0.99448769,4786271.364,48.5156,2.65
