country,asfr15,asfr20,asfr25,asfr30,asfr35,asfr40,asfr45
Burundi,51.3931,194.613,227.1227,217.1177,184.6676,106.8164,27.1466
Comoros,58.9348,164.9535,181.866,196.0238,108.4171,48.9264,26.5182
Djibouti,16.8541,57.2384,110.7736,144.1429,118.5907,45.9206,11.3503
Eritrea,43.3094,173.401,198.9323,180.4048,106.3848,42.3447,8.1902
Ethiopia,58.4587,173.6844,191.7349,160.9195,107.0565,50.3854,22.5845
Kenya,69.835,164.9917,171.8411,120.2885,76.2533,29.8663,18.5878
Madagascar,100.3155,196.1056,207.2463,140.6022,82.5174,35.9492,8.0669
Malawi,129.7225,196.7376,174.4107,142.2579,90.5832,38.6098,10.1414
Mauritius,22.9232,52.2279,84.3838,70.9327,31.3634,6.6026,0.5067
Mayotte,51.2157,152.9705,157.5954,150.1465,111.063,52.0996,12.2793
Mozambique,136.6342,207.108,195.809,165.9887,119.3574,65.8239,17.3294
Réunion,45.7929,96.2675,118.983,105.7363,50.6654,13.8758,0.5334
Rwanda,37.7874,153.2777,196.1111,171.4822,123.0014,55.9052,8.7539
Seychelles,57.6421,112.603,141.5777,94.2314,49.6846,11.1157,0.9493
Somalia,87.8897,246.9926,326.0093,227.7868,144.1241,65.448,34.0554
South Sudan,49.0319,188.9711,283.0249,188.241,91.1858,47.6549,24.7509
Uganda,104.9179,214.9005,207.5982,165.7385,112.8169,68.4313,12.2951
United Republic of Tanzania,111.0713,221.1963,218.2002,176.0174,137.3255,54.0242,8.0282
Zambia,111.0358,203.058,194.5874,165.1117,137.6792,55.7166,8.9474
Zimbabwe,71.6226,166.0283,162.5052,143.9158,83.5004,32.8211,3.8519
Angola,137.7015,223.9476,236.5483,210.6063,150.2386,68.6635,15.5466
Cameroon,94.2232,197.209,188.9011,177.4011,137.2157,48.0846,15.6404
Central African Republic,118.4766,200.8662,190.4085,161.9339,112.9335,64.8123,26.1902
Chad,145.1268,233.5455,231.9526,196.206,156.912,75.982,23.9458
Congo,105.742,186.1598,183.62,167.2531,121.8959,62.1514,12.1789
Democratic Republic of the Congo,116.1118,237.3817,273.1954,203.0215,171.9978,78.7616,12.2206
Equatorial Guinea,144.6356,197.2077,185.952,146.1948,94.7398,46.8886,14.2754
Gabon,82.907,139.6845,182.1145,152.7912,121.4922,58.7526,5.3726
Sao Tome and Principe,88.2,203.9341,181.8259,150.2472,115.9529,68.8539,6.77
Botswana,42.4697,141.172,170.2492,106.654,54.8739,20.4125,2.5792
Eswatini,69.8122,164.3029,135.7014,107.8397,59.0724,18.5565,5.3969
Lesotho,91.8593,157.4681,129.4086,106.5327,67.2279,38.0798,2.953
Namibia,53.6372,153.8511,154.9087,133.5988,97.3837,37.0018,3.9162
South Africa,67.1991,113.8599,121.6923,85.1623,51.4648,18.3058,4.2009
Benin,75.7747,212.9589,262.078,193.587,107.1963,43.0051,13.8794
Burkina Faso,92.9905,216.0037,245.1795,198.1246,139.0876,60.357,15.2178
Cabo Verde,67.9588,109.5069,117.2797,70.026,41.8885,21.4357,2.3851
Côte d'Ivoire,110.3005,187.898,195.6849,180.426,126.3586,61.0067,17.9367
Gambia,65.7489,180.41,233.094,211.6353,184.7633,77.3857,27.3185
Ghana,62.4795,135.2995,181.2282,183.7122,115.5189,36.4061,14.9785
Guinea,125.6819,172.7401,193.6972,174.8314,119.7312,61.7307,27.3368
Guinea-Bissau,96.7783,161.0487,187.3748,170.2339,134.6967,64.4125,18.1522
Liberia,134.0118,178.2953,166.8931,162.6948,107.1135,49.2995,8.9957
Mali,157.8111,222.703,255.2122,205.1554,138.8148,73.142,39.6279
Mauritania,63.9248,159.9203,191.5376,198.8811,159.9972,76.4915,13.4024
Niger,171.3892,290.4595,280.5467,247.9829,188.7361,78.8421,43.5988
Nigeria,97.8195,216.5394,228.5704,200.1764,167.0728,75.9679,28.4469
Senegal,62.6805,165.9907,208.4435,186.9349,143.5395,78.7848,22.105
Sierra Leone,99.7078,182.9902,189.5267,143.6466,97.8431,37.3284,20.0099
Togo,87.0078,188.1842,215.8796,153.7435,107.4587,49.6077,9.653
Algeria,8.8899,84.2756,142.1146,147.8982,113.6167,53.0202,7.5717
Egypt,50.1106,200.8335,174.6746,118.2452,62.9384,14.483,4.7679
Libya,5.5119,40.1569,97.9627,122.7488,103.1941,44.8145,8.6342
Morocco,29.1628,89.4057,112.5218,106.8047,76.1018,36.0681,9.3807
Sudan,48.037,148.6695,216.7878,194.4211,153.1192,58.571,11.1993
Tunisia,7.8785,55.8217,128.3686,115.1611,87.5917,22.4401,2.3067
Western Sahara,19.9956,76.0116,112.8782,111.244,83.2916,38.9078,12.2796
Armenia,16.4469,87.7816,126.969,82.664,37.582,5.1423,0.4282
Azerbaijan,58.3813,157.3023,104.5934,54.1576,20.7182,3.2622,0.321
Bahrain,12.6641,88.7482,101.4329,94.8232,57.8522,19.2841,3.6247
Cyprus,3.9838,37.0758,91.9661,87.5169,33.3954,4.4549,0.6672
Georgia,40.0833,115.7209,120.4124,78.3134,37.3974,9.9962,1.5557
Iraq,71.7729,165.739,186.5959,134.8806,88.6326,37.6334,4.2168
Israel,7.5459,95.2491,156.3346,178.4943,111.6472,33.3511,3.6769
Jordan,25.6224,98.3573,148.1677,136.517,82.4593,22.8084,1.4431
Kuwait,6.7057,66.596,139.1918,104.4517,65.571,21.8081,1.9084
Lebanon,13.0953,67.5161,131.0992,121.8242,52.7101,12.4375,5.0131
Oman,11.264,86.6378,129.8851,134.3539,106.2047,45.5724,5.2838
Qatar,8.2958,96.4064,82.594,87.7111,58.8003,19.4321,2.1218
Saudi Arabia,6.2091,40.4543,137.0539,106.1219,87.5827,39.1389,18.3149
