country,asfr15,asfr20,asfr25,asfr30,asfr35,asfr40,asfr45
State of Palestine,48.3449,169.1431,177.5798,145.8936,92.9809,36.0661,2.2525
Syrian Arab Republic,35.2592,113.3242,143.3327,124.6945,78.9277,28.3648,4.7821
Turkey,21.4536,79.7524,123.0966,108.7435,56.5313,7.8697,1.0672
United Arab Emirates,3.3236,35.2388,60.8517,79.0352,66.2518,23.4549,2.1663
Yemen,54.3093,154.3298,158.2587,138.0066,106.7849,56.3267,17.4362
Kazakhstan,27.7738,150.9138,149.5002,112.1689,65.7607,16.7823,1.1276
Kyrgyzstan,31.0663,179.8466,155.1245,113.385,68.5604,17.0895,0.4781
Tajikistan,58.9965,307.2488,191.2105,91.8367,28.8776,1.9137,0.3998
Turkmenistan,23.4331,148.7054,174.4902,123.449,45.6711,8.4611,0.4329
Uzbekistan,25.7414,183.6005,149.5075,73.6776,25.6223,3.31,0.4631
Afghanistan,49.8838,188.1374,201.3039,161.8821,108.3961,47.2199,13.5605
Bangladesh,78.8223,128.5796,100.9711,50.6458,21.0302,4.5521,2.2018
Bhutan,13.799,88.999,121.8847,90.5273,39.2224,16.6316,2.132
India,7.7167,141.1716,158.3744,85.0954,24.6518,8.3948,2.6094
Iran (Islamic Republic of),40.5592,80.0081,102.3073,110.2968,65.6307,15.3837,4.2409
Maldives,5.924,82.2654,119.1214,97.7631,41.7545,6.809,0.3412
Nepal,60.3069,145.2883,96.0498,38.3206,12.2196,5.5143,1.7245
Pakistan,35.8397,169.8708,204.169,156.8953,60.5937,15.4751,4.9838
Sri Lanka,19.6462,84.5499,149.24,118.2967,44.2877,8.4534,0.5883
China,7.6669,101.7384,117.2607,68.6261,27.6152,12.1701,1.0316
"China, Hong Kong SAR",2.4664,16.5039,58.4394,109.6161,77.6955,16.8267,0.6238
"China, Macao SAR",2.039,45.3052,83.9095,77.8156,42.9269,6.892,0.2997
"China, Taiwan Province of China",3.2046,12.7313,51.7954,100.2773,66.3695,11.9744,0.2389
Dem. People's Republic of Korea,0.3165,38.6111,181.0866,136.2497,12.7302,1.4716,0.3773
Japan,3.2548,23.5633,71.0354,99.7829,61.0612,14.4796,0.2744
Mongolia,33.1083,136.241,143.4998,125.2036,85.2984,21.9834,0.7912
Republic of Korea,1.0991,8.9268,29.316,103.0211,66.9446,5.5603,0.2037
Brunei Darussalam,7.5564,44.1809,112.3393,114.2482,58.8552,13.2379,0.9697
Cambodia,52.6028,163.4703,140.7785,82.1386,29.8804,7.0033,2.9484
Indonesia,44.7456,114.6928,117.9523,92.6439,53.1445,16.4028,4.6248
Lao People's Democratic Republic,62.9103,154.1161,140.7923,81.3289,41.7196,12.282,2.7473
Malaysia,13.5778,38.6131,111.2995,127.1887,74.5034,18.0845,1.3932
Myanmar,26.8467,91.1061,109.4827,95.5561,60.9471,25.072,5.6674
Philippines,56.8589,114.8625,104.4197,105.2812,70.5596,30.5845,8.4089
Singapore,3.4477,19.9586,71.5096,95.1091,49.2363,9.2323,0.3904
Thailand,41.6992,67.5683,75.3627,67.8592,29.546,7.0473,1.1954
Timor-Leste,26.67,141.7678,208.7642,181.0583,103.5811,42.8395,14.5622
Viet Nam,22.0429,90.0574,133.0675,102.6459,44.1912,10.7132,1.0581
Antigua and Barbuda,37.7038,93.6803,124.2929,86.407,39.4337,8.0988,0.5012
Aruba,15.1704,66.9481,122.1041,113.9642,50.0106,8.0489,0.4484
Bahamas,24.9301,94.009,76.9847,61.5179,54.5454,21.4358,4.0194
Barbados,21.4382,59.3647,81.7155,85.0615,61.0272,17.025,2.3725
Cuba,47.8313,88.4274,85.8288,56.7563,25.9604,5.3291,0.322
Curaçao,24.9346,74.4329,100.0334,87.2293,43.3472,12.1635,0.2993
Dominican Republic,87.5033,134.6383,111.394,73.2363,30.7554,7.9808,1.7884
Grenada,24.1333,87.0532,137.7941,93.2632,42.6005,10.0795,0.4714
Guadeloupe,13.2235,67.0262,119.9433,133.172,67.4036,15.984,1.9217
Haiti,47.9327,110.3714,133.8831,118.4918,85.0632,46.1465,6.8458
Jamaica,45.0247,94.1536,106.9057,69.09,55.1905,10.8997,1.5069
Martinique,7.8404,41.5886,113.3503,128.0098,63.1769,10.925,0.3095
Puerto Rico,24.9393,75.6095,61.8874,44.6792,22.8223,5.0145,0.2368
Saint Lucia,36.0019,65.076,74.46,57.1625,31.4878,10.9264,0.24
Saint Vincent and the Grenadines,43.8223,95.1935,109.9435,71.9621,33.0778,7.4578,0.3547
Trinidad and Tobago,24.9301,80.3611,105.8869,74.8207,34.8425,8.7492,1.2689
United States Virgin Islands,22.6309,87.1738,132.5401,62.5469,68.4145,20.4104,0.289
Belize,65.9007,125.8335,108.782,78.1434,45.9709,12.6109,1.5609
Costa Rica,46.3438,85.9548,80.8124,69.781,40.6952,9.8594,0.557
El Salvador,64.5055,106.6022,99.754,72.8333,36.2018,10.8737,1.0868
Guatemala,64.8485,129.6599,126.1015,103.8681,70.0799,32.6322,7.832
Honduras,67.3104,127.0201,105.8132,82.1603,53.3315,24.2952,4.2446
Mexico,55.2984,111.943,115.6545,75.1565,38.1418,7.7846,1.4395
Nicaragua,76.0354,121.6091,113.6814,80.0889,43.8675,16.0272,4.3671
Panama,77.6053,131.6971,120.4481,87.7821,43.0135,11.97,1.5094
Argentina,61.3053,96.9495,94.756,98.0364,66.6406,19.3886,2.8145
Bolivia (Plurinational State of),59.7025,121.1274,119.1674,112.2429,73.7652,24.5795,4.4965
Brazil,50.463,77.6815,79.7772,71.1888,41.045,10.5494,0.7296
Chile,34.2007,57.0829,71.0892,80.4034,60.5275,13.8256,0.4927
Colombia,58.4167,82.7785,89.1184,60.8885,36.793,12.9461,3.0035
Ecuador,76.2793,121.501,112.5659,81.5034,47.7407,20.3871,4.5234
French Guiana,48.8581,122.1377,158.237,175.3319,94.0434,35.9021,3.4148
Guyana,66.5136,148.2659,112.5759,88.0585,47.5377,8.3453,2.2235
Paraguay,68.4075,113.1844,115.9682,89.5547,54.0359,20.4662,3.7979
Peru,51.9099,93.48,105.9093,93.2815,59.7478,23.835,4.01
Suriname,56.3039,112.2628,123.9794,101.3662,51.484,17.3493,0.6705
Uruguay,55.5314,88.123,90.8917,86.8348,49.8342,13.1789,0.8167
Venezuela (Bolivarian Republic of),82.8786,129.0843,104.2753,68.9073,37.0401,12.5039,2.4431
Australia,9.7187,42.321,88.7484,120.2252,75.76,18.2025,1.5752
New Zealand,15.7764,59.0432,96.0966,113.5127,68.6979,15.3671,0.9035
Fiji,48.1644,148.7717,135.2397,94.8855,65.9578,31.8607,5.5126
New Caledonia,12.9083,75.81,100.8438,99.1534,68.7551,20.4113,2.2347
Papua New Guinea,49.2498,158.855,158.7464,138.5201,99.1827,46.6539,23.8651
Solomon Islands,79.9784,221.4462,190.1958,161.5905,124.4298,43.588,7.3952
Vanuatu,46.7578,178.9309,192.6605,149.6236,99.0441,44.9653,11.6223
Guam,26.1422,99.9397,122.9499,116.2044,66.6904,14.1633,1.2079
Kiribati,12.3243,83.4599,203.8228,235.6074,116.7958,25.7423,4.1809
Micronesia (Fed. States of),10.4699,70.6412,171.9212,198.5175,98.552,21.7941,3.5329
French Polynesia,37.0587,83.8374,94.1529,86.3323,55.0479,18.302,1.3585
Samoa,20.9313,123.9637,219.6279,193.6109,133.7286,39.5885,3.824
Tonga,12.9958,90.2168,193.9839,212.9059,123.5632,36.3626,8.386
Belarus,10.6933,66.7146,114.6889,96.3667,48.6879,8.4043,0.3617
Bulgaria,34.6905,65.8205,89.3115,79.1023,40.8154,10.2144,1.2578
Czechia,11.2065,43.9462,95.9709,117.8025,56.4669,10.3754,0.5645
Hungary,24.1094,44.0458,75.4882,96.3088,53.9271,13.0179,0.4522
Poland,8.7172,44.0072,97.8021,91.4598,42.4151,8.4632,0.3379
Republic of Moldova,20.791,66.864,86.7812,54.3818,27.3935,5.1087,0.2643
Romania,30.0303,65.1681,98.4978,87.6344,37.325,8.9361,0.3416
Russian Federation,14.3045,69.6054,115.3268,101.6863,53.493,12.0863,0.5716
Slovakia,25.4504,44.8916,84.2211,97.6234,48.3029,9.3416,0.3154
Ukraine,19.7234,73.704,89.9789,62.0573,32.3341,7.906,0.6264
Channel Islands,5.8488,33.8762,96.3397,111.1936,52.2285,7.6919,0.3193
Denmark,4.3552,35.2219,106.2924,129.6226,64.6679,13.2418,0.8952
Estonia,5.0133,37.4398,97.9462,105.155,62.7206,17.4863,0.8705
Finland,5.0418,35.2674,82.7459,97.8753,51.8241,10.3197,0.595
Iceland,4.584,43.9308,106.2758,105.3909,65.7122,15.8199,1.9882
Ireland,5.3464,35.4081,73.1765,121.473,94.3154,23.9543,2.3002
Latvia,13.3355,55.5289,101.7069,102.7587,59.1869,13.9719,0.8128
Lithuania,7.8726,36.33,111.26,118.084,55.2734,10.8899,0.3481
Norway,4.9616,39.4558,101.1001,120.1557,61.5714,12.1805,0.7216
Sweden,5.3081,42.1125,105.2943,130.2086,69.7132,14.9631,0.9491
United Kingdom,9.7189,46.6107,96.1569,113.9107,68.3139,14.9339,0.9739
Albania,18.3563,85.3995,104.1578,68.3145,25.3937,3.8179,0.2376
Bosnia and Herzegovina,7.2129,32.1554,85.1582,82.5266,32.2834,5.0882,0.2411
Croatia,6.645,30.0009,80.5602,100.7011,52.6621,10.0723,0.5121
Greece,5.8179,20.6497,62.4425,91.3753,55.9044,13.5444,2.7148
Italy,4.618,23.0794,60.3819,88.4515,62.6884,17.8409,1.9095
Malta,10.8714,29.8572,78.8562,111.6542,58.824,10.8911,0.3031
Montenegro,6.974,49.0533,116.0136,107.1618,52.8866,13.0357,1.2633
North Macedonia,12.6627,45.0876,90.1295,94.0902,44.1018,6.3086,0.2901
Portugal,6.5606,29.0444,65.9338,94.6556,59.4525,13.5735,0.7338
Serbia,11.7817,41.1167,84.6206,91.6158,45.3575,8.879,0.4957
Slovenia,3.3061,36.206,108.0938,114.7785,53.1722,11.1654,0.5345
Spain,6.6118,23.7156,54.4688,92.1228,76.8687,22.1475,1.6289
Austria,5.9973,37.971,86.8782,106.6528,63.0209,12.9453,0.7687
Belgium,4.2489,32.8131,98.2353,125.5996,67.6428,16.3433,0.8899
France,4.7661,38.7977,104.775,128.9839,72.2425,18.523,1.2266
Germany,6.9822,31.9379,78.1723,113.5708,74.6829,15.7438,0.676
Luxembourg,4.11,26.7969,67.145,103.1414,65.0624,15.1954,1.2151
Netherlands,3.5563,31.3223,102.1823,131.4898,55.6411,10.8976,0.45
Switzerland,2.2813,24.9414,73.6141,116.0895,75.8851,16.0794,1.1845
Canada,6.6782,31.8217,80.36,105.9995,58.1713,12.9342,0.8858
United States of America,13.3374,59.9268,100.6286,110.7379,58.5924,12.6693,0.8186
